Word,Translation,Meaning,Example Sentence,Tag,Dialouge,StartTime,EndTime
mouth,دهان,"{'Noun': ['the opening through which food is taken in and vocalizations emerge', 'the externally visible part of the oral cavity on the face and the system of organs surrounding the opening', 'an opening that resembles a mouth (as of a cave or a gorge', 'the point where a stream issues into a larger body of water', 'a person conceived as a consumer of food', 'a spokesperson (as a lawyer', 'an impudent or insolent rejoinder', 'the opening of a jar or bottle'], 'Verb': ['express in speech', 'articulate silently; form words with the lips only', 'touch with the mouth']}",['he stuffed his mouth with candy'],"season 1 , The One Where It All Began (Pilot)",I feel like someone pulled my intestine out of my mouth..,"00:02:30,550","00:02:35,214"
tied,گره خورده است,"{'Verb': ['fasten or secure with a rope, string, or cord', 'finish a game with an equal number of points, goals, etc.', 'limit or restrict to', 'connect, fasten, or put together two or more pieces', 'form a knot or bow in', 'create social or emotional ties', 'perform a marriage ceremony', 'make by tying pieces together', 'unite musical notes by a tie'], 'Adjective': ['bound or secured closely', 'bound together by or as if by a strong rope; especially as by a bond of affection', 'fastened with strings or cords', 'closed with a lace', 'of the score in a contest']}",['They tied their victim to the chair'],"season 1 , The One Where It All Began (Pilot)",- and tied it around my neck. - Cookie?,"00:02:35,421","00:02:39,858"
neck,گردن,"{'Noun': ['the part of an organism (human or animal', 'a narrow elongated projecting strip of land', 'a cut of meat from the neck of an animal', 'a narrow part of an artifact that resembles a neck in position or form', ""an opening in a garment for the neck of the wearer; a part of the garment near the wearer's neck""], 'Verb': ['kiss, embrace, or fondle with sexual passion']}","['he admired her long graceful neck', 'the horse won by a neck']","season 1 , The One Where It All Began (Pilot)",- and tied it around my neck. - Cookie?,"00:02:35,421","00:02:39,858"
cookie,کوکی,"{'Noun': [""any of various small flat sweet cakes (`biscuit' is the British term"", 'the cook on a ranch or at a camp', ""a short line of text that a web site puts on your computer's hard drive when you access the web site""]}",N/A,"season 1 , The One Where It All Began (Pilot)",- and tied it around my neck. - Cookie?,"00:02:35,421","00:02:39,858"
moved,نقل مکان کرد,"{'Verb': ['change location; move, travel, or proceed, also metaphorically', 'cause to move or shift into a new position or place, both in a concrete and in an abstract sense', 'move so as to change position, perform a nontranslational motion', 'change residence, affiliation, or place of employment', 'follow a procedure or take a course', 'be in a state of action', 'go or proceed from one point to another', 'perform an action, or work out or perform (an action', 'have an emotional or cognitive impact upon', 'give an incentive for action', 'arouse sympathy or compassion in', 'dispose of by selling', 'progress by being changed', ""live one's life in a specified environment"", ""have a turn; make one's move in a game"", 'propose formally; in a debate or parliamentary meeting'], 'Adjective': ['being excited or provoked to the expression of an emotion']}","['How fast does your new car go?', 'We travelled from Rome to Naples by bus', 'The policemen went from door to door looking for the suspect', 'The soldiers moved towards the city in an attempt to take it before night fell', 'news travelled fast']","season 1 , The One Where It All Began (Pilot)",Carol moved her stuff out today.,"00:02:40,360","00:02:42,954"
stuff,چیز,"{'Noun': ['the tangible substance that goes into the makeup of a physical object', 'miscellaneous unspecified objects', 'informal terms for personal possessions', 'senseless talk', 'unspecified qualities required to do or be something', 'information in some unspecified form', 'a critically important or characteristic component'], 'Verb': ['cram into a cavity', 'press or force', 'obstruct', 'overeat or eat immodestly; make a pig of oneself', 'treat with grease, fill, and prepare for mounting', 'fill tightly with a material', 'fill with a stuffing while cooking']}","['coal is a hard black material', 'wheat is the stuff they use to make bread']","season 1 , The One Where It All Began (Pilot)",Carol moved her stuff out today.,"00:02:40,360","00:02:42,954"
today,امروز,"{'Noun': ['the present time or age', 'the day that includes the present moment (as opposed to yesterday or tomorrow'], 'Adverb': ['in these times', 'on this day as distinct from yesterday or tomorrow']}","['the world of today', 'today we have computers']","season 1 , The One Where It All Began (Pilot)",Carol moved her stuff out today.,"00:02:40,360","00:02:42,954"
coffee,قهوه,"{'Noun': ['a beverage consisting of an infusion of ground coffee beans', 'any of several small trees and shrubs native to the tropical Old World yielding coffee beans', 'a seed of the coffee tree; ground to make coffee', 'a medium brown to dark-brown color']}",['he ordered a cup of coffee'],"season 1 , The One Where It All Began (Pilot)",- Let me get you some coffee. - Thanks.,"00:02:43,129","00:02:46,394"
thanks,با تشکر,"{'Noun': ['an acknowledgment of appreciation', 'with the help of or owing to'], 'Verb': ['express gratitude or show appreciation to']}",['thanks to hard work it was a great success'],"season 1 , The One Where It All Began (Pilot)",- Let me get you some coffee. - Thanks.,"00:02:43,129","00:02:46,394"
dont,نکن,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","No, don't! Stop cleansing my aura.","00:02:49,769","00:02:54,866"
stop,متوقف کردن,"{'Noun': ['the event of something ending', 'the act of stopping something', 'a brief stay in the course of a journey', 'the state of inactivity following an interruption', 'a spot where something halts or pauses', 'a consonant produced by stopping the flow of air at some point and suddenly releasing it', 'a punctuation mark (.', '(music', 'a mechanical device in a camera that controls size of aperture of the lens', 'a restraint that checks the motion of something', 'an obstruction in a pipe or tube'], 'Verb': ['come to a halt, stop moving', 'put an end to a state or an activity', 'stop from happening or developing', 'interrupt a trip', 'cause to stop', 'prevent completion', 'hold back, as of a danger or an enemy; check the expansion or influence of', 'seize on its way', 'have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical', 'render unsuitable for passage', 'stop and wait, as if awaiting further instructions or developments']}",['it came to a stop at the bottom of the hill'],"season 1 , The One Where It All Began (Pilot)","No, don't! Stop cleansing my aura.","00:02:49,769","00:02:54,866"
cleansing,پاکسازی,"{'Noun': ['the act of making something clean'], 'Verb': [""clean one's body or parts thereof, as by washing"", 'purge of an ideology, bad thoughts, or sins'], 'Adjective': ['cleansing the body by washing; especially ritual washing of e.g. hands', 'acting like an antiseptic']}",['he gave his shoes a good cleaning'],"season 1 , The One Where It All Began (Pilot)","No, don't! Stop cleansing my aura.","00:02:49,769","00:02:54,866"
aura,هاله,"{'Noun': ['a sensation (as of a cold breeze or bright light', 'an indication of radiant light drawn around the head of a saint', 'a distinctive but intangible quality surrounding a person or thing']}",N/A,"season 1 , The One Where It All Began (Pilot)","No, don't! Stop cleansing my aura.","00:02:49,769","00:02:54,866"
leave,ترک کردن,"{'Noun': ['the period of time during which you are absent from work or duty', 'permission to do something', 'the act of departing politely'], 'Verb': ['go away from a place', 'go and leave behind, either intentionally or by neglect or forgetfulness', 'act or be so as to become in a specified state', 'leave unchanged or undisturbed or refrain from taking', 'move out of or depart from', 'make a possibility or provide opportunity for; permit to be attainable or cause to remain', 'produce as a result or residue', 'remove oneself from an association with or participation in', 'put into the care or protection of someone', ""leave or give by will after one's death"", 'have left or have as a remainder', ""be survived by after one's death"", 'transmit (knowledge or skills', 'leave behind unintentionally']}","[""a ten day's leave to visit his mother""]","season 1 , The One Where It All Began (Pilot)","- Just leave my aura alone, okay? - Fine, be murky.","00:02:55,074","00:02:59,704"
aura,هاله,"{'Noun': ['a sensation (as of a cold breeze or bright light', 'an indication of radiant light drawn around the head of a saint', 'a distinctive but intangible quality surrounding a person or thing']}",N/A,"season 1 , The One Where It All Began (Pilot)","- Just leave my aura alone, okay? - Fine, be murky.","00:02:55,074","00:02:59,704"
fine,خوب,"{'Noun': ['money extracted as a penalty'], 'Verb': ['issue a ticket or a fine to as a penalty'], 'Adjective': ['being satisfactory or in satisfactory condition', 'minutely precise especially in differences in meaning', 'thin in thickness or diameter', 'characterized by elegance or refinement or accomplishment', 'of textures that are smooth to the touch or substances consisting of relatively small particles', 'free from impurities; having a high or specified degree of purity'], 'Adverb': ['an expression of agreement normally occurring at the beginning of a sentence', 'in a delicate manner']}","['I was fined for parking on the wrong side of the street', 'Move your car or else you will be ticketed!']","season 1 , The One Where It All Began (Pilot)","- Just leave my aura alone, okay? - Fine, be murky.","00:02:55,074","00:02:59,704"
murky,کدر,"{'Adjective': ['(of liquids', 'dark or gloomy']}","['a cloudy liquid', 'muddy coffee', 'murky waters']","season 1 , The One Where It All Began (Pilot)","- Just leave my aura alone, okay? - Fine, be murky.","00:02:55,074","00:02:59,704"
ill,بیمار,"{'Noun': ['an often persistent bodily disorder or disease; a cause for complaining'], 'Adjective': ['affected by an impairment of normal physical or mental function', 'resulting in suffering or adversity', 'distressing', 'indicating hostility or enmity', 'presaging ill fortune'], 'Adverb': [""(`ill' is often used as a combining form"", 'unfavorably or with disapproval', 'with difficulty or inconvenience; scarcely or hardly']}",['ill from the monotony of his suffering'],"season 1 , The One Where It All Began (Pilot)","- I'll be fine. I hope she'll be happy. - No, you don't.","00:03:00,113","00:03:03,674"
fine,خوب,"{'Noun': ['money extracted as a penalty'], 'Verb': ['issue a ticket or a fine to as a penalty'], 'Adjective': ['being satisfactory or in satisfactory condition', 'minutely precise especially in differences in meaning', 'thin in thickness or diameter', 'characterized by elegance or refinement or accomplishment', 'of textures that are smooth to the touch or substances consisting of relatively small particles', 'free from impurities; having a high or specified degree of purity'], 'Adverb': ['an expression of agreement normally occurring at the beginning of a sentence', 'in a delicate manner']}","['I was fined for parking on the wrong side of the street', 'Move your car or else you will be ticketed!']","season 1 , The One Where It All Began (Pilot)","- I'll be fine. I hope she'll be happy. - No, you don't.","00:03:00,113","00:03:03,674"
hope,امید,"{'Noun': ['a specific instance of feeling hopeful', 'the general feeling that some desire will be fulfilled', 'grounds for feeling hopeful about the future', 'someone (or something', 'United States comedian (born in England', '1903-2003', 'one of the three Christian virtues'], 'Verb': ['expect and wish', 'be optimistic; be full of hope; have hopes', 'intend with some possibility of fulfilment']}",['it revived their hope of winning the pennant'],"season 1 , The One Where It All Began (Pilot)","- I'll be fine. I hope she'll be happy. - No, you don't.","00:03:00,113","00:03:03,674"
shell,پوسته,"{'Noun': ['ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun', 'the material that forms the hard outer covering of many animals', 'hard outer covering or case of certain organisms such as arthropods and turtles', 'the hard usually fibrous outer layer of some fruits especially nuts', ""the exterior covering of a bird's egg"", 'a rigid covering that envelops an object', 'a very light narrow racing boat', 'the housing or outer covering of something', 'a metal sheathing of uniform thickness (such as the shield attached to an artillery piece to protect the gunners', 'the hard largely calcareous covering of a mollusc or a brachiopod'], 'Verb': ['use explosives on', 'create by using explosives', 'fall out of the pod or husk', 'hit the pitches of hard and regularly', 'look for and collect shells by the seashore', 'come out better in a competition, race, or conflict', 'remove from its shell or outer covering', 'remove the husks from']}",N/A,"season 1 , The One Where It All Began (Pilot)","- I'll be fine. I hope she'll be happy. - No, you don't.","00:03:00,113","00:03:03,674"
happy,خوشحال,"{'Adjective': ['enjoying or showing or marked by joy or pleasure', 'marked by good fortune', 'eagerly disposed to act or to be of service', 'well expressed and to the point']}","['a happy smile', 'spent many happy days on the beach', 'a happy marriage']","season 1 , The One Where It All Began (Pilot)","- I'll be fine. I hope she'll be happy. - No, you don't.","00:03:00,113","00:03:03,674"
dont,نکن,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","- I'll be fine. I hope she'll be happy. - No, you don't.","00:03:00,113","00:03:03,674"
dont,نکن,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","No, I don't. To hell with her. She left me!","00:03:03,883","00:03:07,284"
hell,جهنم,"{'Noun': ['any place of pain and turmoil', 'a cause of difficulty and suffering', '(Christianity', '(religion', 'noisy and unrestrained mischief']}","['the hell of battle', 'the inferno of the engine room', ""when you're alone Christmas is the pits""]","season 1 , The One Where It All Began (Pilot)","No, I don't. To hell with her. She left me!","00:03:03,883","00:03:07,284"
left,ترک کرد,"{'Noun': ['location near or direction toward the left side; i.e. the side to the north when a person or object faces east', 'those who support varying degrees of social or political or economic change designed to promote the public welfare', 'the hand that is on the left side of the body', ""the piece of ground in the outfield on the catcher's left"", 'a turn toward the side of the body that is on the north when the person is facing east'], 'Verb': ['go away from a place', 'go and leave behind, either intentionally or by neglect or forgetfulness', 'act or be so as to become in a specified state', 'leave unchanged or undisturbed or refrain from taking', 'move out of or depart from', 'make a possibility or provide opportunity for; permit to be attainable or cause to remain', 'produce as a result or residue', 'remove oneself from an association with or participation in', 'put into the care or protection of someone', ""leave or give by will after one's death"", 'have left or have as a remainder', ""be survived by after one's death"", 'transmit (knowledge or skills', 'leave behind unintentionally'], 'Adjective': ['being or located on or directed toward the side of the body to the west when facing north', 'not used up', 'intended for the left hand', 'of or belonging to the political or intellectual left'], 'Adverb': ['toward or on the left; also used figuratively']}",['she stood on the left'],"season 1 , The One Where It All Began (Pilot)","No, I don't. To hell with her. She left me!","00:03:03,883","00:03:07,284"
lesbian,لزبین,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",You never knew she was a lesbian?,"00:03:07,487","00:03:10,251"
fixating,ثابت کردن,"{'Verb': ['attach (oneself', 'pay attention to exclusively and obsessively', 'make fixed, stable or stationary', 'become fixed (on']}","['He fixates on his mother, even at the age of 40']","season 1 , The One Where It All Began (Pilot)",Why does everyone keep fixating on that?,"00:03:15,862","00:03:18,797"
didnt,نکرد,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",She didn't know. How should I know?,"00:03:20,366","00:03:23,893"
wish,آرزو کردن,"{'Noun': ['a specific feeling of desire', 'an expression of some desire or inclination', '(usually plural', 'the particular preference that you have'], 'Verb': ['hope for; have a wish', 'prefer or wish to do something', 'make or express a wish', 'feel or express a desire or hope concerning the future or fortune of', 'order politely; express a wish for', 'invoke upon']}","['he got his wish', 'he was above all wishing and desire']","season 1 , The One Where It All Began (Pilot)",Sometimes I wish I was a lesbian.,"00:03:24,938","00:03:28,897"
lesbian,لزبین,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",Sometimes I wish I was a lesbian.,"00:03:24,938","00:03:28,897"
loud,با صدای بلند,"{'Adjective': ['characterized by or producing sound of great volume or intensity', 'tastelessly showy', '(used chiefly as a direction or description in music'], 'Adverb': ['with relatively high volume']}","['a group of loud children', 'loud thunder', 'her voice was too loud', 'loud trombones']","season 1 , The One Where It All Began (Pilot)",Did I say that out loud?,"00:03:29,475","00:03:31,670"
told,گفت,"{'Verb': ['express in words', 'let something be known', 'narrate or give a detailed account of', 'give instructions to or direct somebody to do something with authority', 'discern or comprehend', 'inform positively and with certainty and confidence', 'give evidence', 'mark as different']}","['He said that he wanted to marry her', 'tell me what is bothering you', 'state your opinion', 'state your name']","season 1 , The One Where It All Began (Pilot)",I told Mom and Dad last night. They took it pretty well.,"00:03:33,913","00:03:37,747"
night,شب,"{'Noun': ['the time after sunset and before sunrise while it is dark outside', 'a period of ignorance or backwardness or gloom', 'the period spent sleeping', 'the dark part of the diurnal cycle considered a time unit', 'darkness', 'a shortening of nightfall', 'the time between sunset and midnight', 'Roman goddess of night; daughter of Erebus; counterpart of Greek Nyx']}",N/A,"season 1 , The One Where It All Began (Pilot)",I told Mom and Dad last night. They took it pretty well.,"00:03:33,913","00:03:37,747"
took,گرفت,"{'Verb': ['carry out', 'require (time or space', 'take somebody somewhere', ""get into one's hands, take physically"", 'take on a certain form, attribute, or aspect', 'interpret something in a certain way; convey a particular meaning or impression', 'take something or somebody with oneself somewhere', ""take into one's possession"", 'travel or go by means of a certain kind of transportation, or a certain route', 'pick out, select, or choose from a number of alternatives', 'receive willingly something given or offered', 'assume, as of positions or roles', 'take into consideration for exemplifying purposes', 'require as useful, just, or proper', 'experience or feel or submit to', 'make a film or photograph of something', 'remove something concrete, as by lifting, pushing, or taking off, or remove something abstract', 'serve oneself to, or consume regularly', 'accept or undergo, often unwillingly', 'make use of or accept for some purpose', 'take by force', 'occupy or take on', 'admit into a group or community', 'ascertain or determine by measuring, computing or take a reading from a dial', 'be a student of a certain subject', 'take as an undesirable consequence of some event or state of affairs', 'head into a specified direction', 'point or cause to go (blows, weapons, or objects such as photographic equipment', 'be seized or affected in a specified way', ""have with oneself; have on one's person"", 'engage for service under a term of contract', 'receive or obtain regularly', 'buy, select', 'to get into a position of having, e.g., safety, comfort', 'have sex with; archaic use', 'lay claim to; as of an idea', 'be designed to hold or take', 'be capable of holding or containing', 'develop a habit', 'proceed along in a vehicle', 'obtain by winning', 'be stricken by an illness, fall victim to an illness']}","['take action', 'take steps', 'take vengeance']","season 1 , The One Where It All Began (Pilot)",I told Mom and Dad last night. They took it pretty well.,"00:03:33,913","00:03:37,747"
pretty,بسیار,"{'Adjective': ['pleasing by delicacy or grace; not imposing', '(used ironically'], 'Adverb': ['to certain extent or degree']}","['pretty girl', 'pretty song', 'pretty room']","season 1 , The One Where It All Began (Pilot)",I told Mom and Dad last night. They took it pretty well.,"00:03:33,913","00:03:37,747"
hysterical,هیستریک,"{'Adjective': ['characterized by or arising from psychoneurotic hysteria', 'marked by excessive or uncontrollable emotion']}","['during hysterical conditions various functions of the human body are disordered', 'hysterical amnesia']","season 1 , The One Where It All Began (Pilot)",So that hysterical phone call from a woman sobbing..,"00:03:39,152","00:03:42,781"
phone,تلفن,"{'Noun': ['electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds', '(phonetics', 'electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear'], 'Verb': ['get or try to get into communication (with someone']}",['I talked to him on the telephone'],"season 1 , The One Where It All Began (Pilot)",So that hysterical phone call from a woman sobbing..,"00:03:39,152","00:03:42,781"
woman,زن,"{'Noun': ['an adult female person (as opposed to a man', 'a female person who plays a significant role (wife or mistress or girlfriend', 'a human female employed to do housework', 'women as a class']}",['the woman kept house while the man hunted'],"season 1 , The One Where It All Began (Pilot)",So that hysterical phone call from a woman sobbing..,"00:03:39,152","00:03:42,781"
sobbing,گریه کردن,"{'Noun': ['convulsive gasp made while weeping'], 'Verb': ['weep convulsively']}",['He was sobbing inconsolably'],"season 1 , The One Where It All Began (Pilot)",So that hysterical phone call from a woman sobbing..,"00:03:39,152","00:03:42,781"
ill,بیمار,"{'Noun': ['an often persistent bodily disorder or disease; a cause for complaining'], 'Adjective': ['affected by an impairment of normal physical or mental function', 'resulting in suffering or adversity', 'distressing', 'indicating hostility or enmity', 'presaging ill fortune'], 'Adverb': [""(`ill' is often used as a combining form"", 'unfavorably or with disapproval', 'with difficulty or inconvenience; scarcely or hardly']}",['ill from the monotony of his suffering'],"season 1 , The One Where It All Began (Pilot)","""I'll never have grandchildren,"" was what? A wrong number?","00:03:42,989","00:03:47,619"
grandchildren,نوه ها,{'Noun': ['a child of your son or daughter']},N/A,"season 1 , The One Where It All Began (Pilot)","""I'll never have grandchildren,"" was what? A wrong number?","00:03:42,989","00:03:47,619"
wrong,اشتباه,"{'Noun': ['that which is contrary to the principles of justice or law', 'any harm or injury resulting from a violation of a legal right'], 'Verb': ['treat unjustly; do wrong to'], 'Adjective': ['not correct; not in conformity with fact or truth', 'contrary to conscience or morality or law', 'not appropriate for a purpose or occasion', 'not functioning properly', 'based on or acting or judging in error', 'not in accord with established usage or procedure', 'used of the side of cloth or clothing intended to face inward', 'badly timed', 'characterized by errors; not agreeing with a model or not following established rules'], 'Adverb': ['in an inaccurate manner']}",['he feels that you are in the wrong'],"season 1 , The One Where It All Began (Pilot)","""I'll never have grandchildren,"" was what? A wrong number?","00:03:42,989","00:03:47,619"
number,عدد,"{'Noun': ['the property possessed by a sum or total or indefinite quantity of units or individuals', 'a concept of quantity involving zero and units', 'a short performance that is part of a longer program', 'the number is used in calling a particular telephone', 'a symbol used to represent a number', 'one of a series published periodically', 'a select company of people', 'a numeral or string of numerals that is used for identification and may be attached to accounts, memberships, etc.', 'a clothing measurement', 'a numbered item in a series', 'the grammatical category for the forms of nouns and pronouns and verbs that are used depending on the number of entities involved (singular or dual or plural', 'an item of clothing'], 'Verb': ['add up in number or quantity', 'give numbers to', 'enumerate', 'put into a group', 'determine the number or amount of', 'place a limit on the number of']}","['he had a number of chores to do', 'the number of parameters is small', 'the figure was about a thousand']","season 1 , The One Where It All Began (Pilot)","""I'll never have grandchildren,"" was what? A wrong number?","00:03:42,989","00:03:47,619"
sorry,متاسف,"{'Adjective': ['feeling or expressing regret or sorrow or a sense of loss over something done or undone', 'bad; unfortunate', 'without merit; of little or no value or use', 'causing dejection']}","['felt regretful over his vanished youth', 'regretful over mistakes she had made', 'he felt bad about breaking the vase']","season 1 , The One Where It All Began (Pilot)",Sorry.,"00:03:47,860","00:03:48,849"
look,نگاه کن,"{'Noun': [""the feelings expressed on a person's face"", 'the act of directing the eyes toward something and perceiving it visually', 'physical appearance', 'the general atmosphere of a place or situation and the effect that it has on people'], 'Verb': [""perceive with attention; direct one's gaze towards"", 'give a certain impression or have a certain outward aspect', 'have a certain outward or facial expression', 'search or seek', 'be oriented in a certain direction, often with respect to another reference point; be opposite to', 'take charge of or deal with', ""convey by one's expression"", 'look forward to the probable occurrence of', 'accord in appearance with', 'have faith or confidence in']}","['a sad expression', 'a look of triumph', 'an angry face']","season 1 , The One Where It All Began (Pilot)","Look, you're feeling a lot of pain right now.","00:03:49,062","00:03:52,862"
youre,شما هستید,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","Look, you're feeling a lot of pain right now.","00:03:49,062","00:03:52,862"
feeling,احساس,"{'Noun': ['the experiencing of affective and emotional states', 'a vague idea in which some confidence is placed', 'the general atmosphere of a place or situation and the effect that it has on people', 'a physical sensation that you experience', 'the sensation produced by pressure receptors in the skin', 'an intuitive understanding of something'], 'Verb': ['undergo an emotional sensation or be in a particular state of mind', 'come to believe on the basis of emotion, intuitions, or indefinite grounds', 'perceive by a physical sensation, e.g., coming from the skin or muscles', 'be conscious of a physical, mental, or emotional state', ""have a feeling or perception about oneself in reaction to someone's behavior or attitude"", 'undergo passive experience of', 'be felt or perceived in a certain way', 'grope or feel in search of something', 'examine by touch', 'examine (a body part', 'find by testing or cautious exploration', 'produce a certain impression', ""pass one's hands over the sexual organs of""]}","['she had a feeling of euphoria', 'he had terrible feelings of guilt', 'I disliked him and the feeling was mutual']","season 1 , The One Where It All Began (Pilot)","Look, you're feeling a lot of pain right now.","00:03:49,062","00:03:52,862"
lot,مقدار زیادی,"{'Noun': ['a parcel of land having fixed boundaries', 'an unofficial association of people or groups', 'your overall circumstances or condition in life (including everything that happens to you', 'anything (straws or pebbles etc.', 'any collection in its entirety', '(Old Testament'], 'Verb': ['divide into lots, as of land, for example', 'administer or bestow, as in small portions']}","['a batch of letters', 'a deal of trouble', 'a lot of money', 'he made a mint on the stock market', 'see the rest of the winners in our huge passel of photos', 'it must have cost plenty', 'a slew of journalists', 'a wad of money']","season 1 , The One Where It All Began (Pilot)","Look, you're feeling a lot of pain right now.","00:03:49,062","00:03:52,862"
pain,درد,"{'Noun': ['a symptom of some physical hurt or disorder', 'emotional distress; a fundamental feeling that people try to avoid', 'a somatic sensation of acute discomfort', 'a bothersome annoying person', 'something or someone that causes trouble; a source of unhappiness'], 'Verb': ['cause bodily suffering to and make sick or indisposed', 'cause emotional anguish or make miserable']}",['the patient developed severe pain and distension'],"season 1 , The One Where It All Began (Pilot)","Look, you're feeling a lot of pain right now.","00:03:49,062","00:03:52,862"
youre,شما هستید,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",You're angry. You're hurting.,"00:03:53,066","00:03:55,694"
angry,خشمگین,"{'Adjective': ['feeling or showing anger', '(of the elements', 'severely inflamed and painful']}","['angry at the weather', 'angry customers', 'an angry silence', 'sending angry letters to the papers']","season 1 , The One Where It All Began (Pilot)",You're angry. You're hurting.,"00:03:53,066","00:03:55,694"
youre,شما هستید,N/A,N/A,"season 1 , The One Where It All Began (Pilot)",You're angry. You're hurting.,"00:03:53,066","00:03:55,694"
hurting,صدمه زدن,"{'Noun': ['a symptom of some physical hurt or disorder'], 'Verb': ['be the source of pain', 'give trouble or pain to', 'cause emotional anguish or make miserable', 'cause damage or affect negatively', 'hurt the feelings of', 'feel physical pain', 'feel pain or be in pain']}",['the patient developed severe pain and distension'],"season 1 , The One Where It All Began (Pilot)",You're angry. You're hurting.,"00:03:53,066","00:03:55,694"
tell,بگو,"{'Noun': [""a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap""], 'Verb': ['express in words', 'let something be known', 'narrate or give a detailed account of', 'give instructions to or direct somebody to do something with authority', 'discern or comprehend', 'inform positively and with certainty and confidence', 'give evidence', 'mark as different']}","['He said that he wanted to marry her', 'tell me what is bothering you', 'state your opinion', 'state your name']","season 1 , The One Where It All Began (Pilot)",Can I tell you what the answer is?,"00:03:55,902","00:03:58,132"
answer,پاسخ,"{'Noun': ['a statement (either spoken or written', 'a statement that solves a problem or explains how to solve the problem', 'the speech act of replying to a question', ""the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere"", 'a nonverbal reaction'], 'Verb': ['react verbally', 'respond to a signal', 'give the correct answer or solution to', 'understand the meaning of', 'give a defence or refutation of (a charge', 'an argument', 'be liable or accountable', 'be sufficient; be adequate, either in quality or quantity', 'match or correspond', 'be satisfactory for; meet the requirements of or serve the purpose of', 'react to a stimulus or command']}","['I waited several days for his answer', 'he wrote replies to several of his critics']","season 1 , The One Where It All Began (Pilot)",Can I tell you what the answer is?,"00:03:55,902","00:03:58,132"
strip,نوار,"{'Noun': ['a relatively long narrow piece of something', 'artifact consisting of a narrow flat piece of material', 'an airfield without normal airport facilities', 'a sequence of drawings telling a story in a newspaper or comic book', 'thin piece of wood or metal', 'a form of erotic entertainment in which a dancer gradually undresses to music'], 'Verb': ['take away possessions from someone', 'get undressed', 'remove the surface from', 'remove substances from by a percolating liquid', 'lay bare', 'steal goods; take as spoils', 'remove all contents or possession from, or empty completely', 'strip the cured leaves from', 'remove the thread (of screws', 'remove a constituent from a liquid', 'take off or remove', 'draw the last milk (of cows', ""remove (someone's or one's own""]}",['he felt a flat strip of muscle'],"season 1 , The One Where It All Began (Pilot)",Strip joints!,"00:03:58,304","00:03:59,601"
joints,مفاصل,"{'Noun': ['(anatomy', 'especially if it allows motion', 'a disreputable place of entertainment', 'the shape or manner in which things come together and a connection is made', 'a piece of meat roasted or for roasting and of a size for slicing into more than one portion', 'junction by which parts or objects are joined together', 'marijuana leaves rolled into a cigarette for smoking'], 'Verb': ['fit as if by joints', 'provide with a joint', 'fasten with a joint', 'separate (meat']}",N/A,"season 1 , The One Where It All Began (Pilot)",Strip joints!,"00:03:58,304","00:03:59,601"
youre,شما هستید,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","Hey, you're single. Have some hormones.","00:04:01,741","00:04:04,141"
single,تنها,"{'Noun': ['a base hit on which the batter stops safely at first base', 'the smallest whole number or a numeral representing this number'], 'Verb': ['hit a single'], 'Adjective': ['being or characteristic of a single thing or person', 'used of flowers having usually only one row or whorl of petals', 'existing alone or consisting of one entity or part or aspect or individual', 'not married or related to the unmarried state', 'characteristic of or meant for a single person or thing', 'having uniform application', 'not divided among or brought to bear on more than one object or objective']}","['he has the one but will need a two and three to go with it', 'they had lunch at one']","season 1 , The One Where It All Began (Pilot)","Hey, you're single. Have some hormones.","00:04:01,741","00:04:04,141"
hormones,هورمون ها,{'Noun': ['the secretion of an endocrine gland that is transmitted by the blood to the tissue on which it has a specific effect']},N/A,"season 1 , The One Where It All Began (Pilot)","Hey, you're single. Have some hormones.","00:04:01,741","00:04:04,141"
dont,نکن,N/A,N/A,"season 1 , The One Where It All Began (Pilot)","But I don't want to be single, okay?","00:04:05,311","00:04:07,541"
want,خواستن,"{'Noun': ['a state of extreme poverty', 'the state of needing something that is absent or unavailable', 'anything that is necessary but lacking', 'a specific feeling of desire'], 'Verb': ['feel or have a desire for; want strongly', 'have need of', 'hunt or look for; want for a particular reason', 'wish or demand the presence of', 'be without, lack; be deficient in']}","['there is a serious lack of insight into the problem', 'water is the critical deficiency in desert regions', 'for want of a nail the shoe was lost']","season 1 , The One Where It All Began (Pilot)","But I don't want to be single, okay?","00:04:05,311","00:04:07,541"
